EmployeeID,SkillName,CurrentProficiency,YearsExperience
46,SQL & Database Design,3,5.7
46,Microservices Architecture,4,3.8
46,JavaScript / React,4,3.2
46,Python,3,2.7
46,Docker,3,5.3
46,REST APIs,4,7.0
47,Contract Negotiation,5,5.1
47,Client Retention,2,5.4
47,Strategic Account Planning,4,5.3
47,Customer Success,4,5.6
47,Key Account Management,3,3.1
48,Market Analysis,3,4.0
48,Lead Generation,3,5.2
48,CRM Management,4,3.1
49,Technical Support,4,1.6
49,Customer Troubleshooting,4,2.4
49,Hardware Diagnostics,4,2.6
49,Network Basics,5,3.0
50,CI/CD Quality Gates,4,0.7
50,Test Automation,4,1.1
50,QA Testing,3,1.3
51,Market Analysis,4,6.4
51,B2B Sales,4,6.6
51,CRM Management,4,8.8
51,Client Negotiation,3,4.4
52,Scripting (Python/Bash),4,9.2
52,Database Querying (SQL),3,11.9
52,Incident Management,4,4.4
52,L2/L3 Technical Troubleshooting,4,10.7
53,Technical SEO Auditing,3,1.6
53,Google Analytics / Search Console,3,3.2
53,Competitor SEO Analysis,3,1.9
54,Regulatory Reporting,4,5.2
54,Risk Assessment,3,11.5
54,Excel & Financial Modeling,5,8.1
54,Tax Compliance,3,11.9
55,Accounts Payable / Receivable,3,3.1
55,QuickBooks / SAP,3,1.7
55,Reconciliation,3,2.4
55,Financial Statements,5,2.3
55,Tax Preparation,4,3.3
56,Python,3,2.9
56,JavaScript / React,2,4.1
56,SQL & Database Design,4,2.4
57,REST APIs,3,2.5
57,Docker,4,5.2
57,Microservices Architecture,3,2.8
57,Git Version Control,4,3.3
58,Hardware Diagnostics,3,10.1
58,Customer Troubleshooting,3,9.0
59,Content Strategy,3,1.4
59,Google Analytics / Search Console,4,0.9
59,Search Engine Optimization,2,1.3
60,Performance Management,3,5.2
60,Talent Acquisition,3,5.4
60,Employee Onboarding,3,5.0
60,HR Policies & Compliance,3,3.8
60,HRIS Management,5,6.1
61,Organizational Development,4,6.8
61,Succession Planning,3,3.8
61,Budgeting,4,8.9
61,Employee Engagement,4,4.0
61,Labor Law & Compliance,3,3.1
62,Bug Lifecycle Management,2,1.9
62,CI/CD Quality Gates,5,4.1
62,Test Automation,4,3.3
62,API Testing (Postman),4,2.0
63,Labor Law & Compliance,3,4.6
63,HR Strategy,4,4.4
63,Organizational Development,4,7.3
63,Succession Planning,5,9.5
64,ServiceNow / ITSM,2,2.7
64,Customer Troubleshooting,4,2.0
64,Technical Support,3,3.9
64,Hardware Diagnostics,3,4.6
65,Strategic Account Planning,2,3.6
65,Client Retention,5,3.6
65,Contract Negotiation,3,5.9
65,Upselling & Cross-selling,4,10.5
66,Copywriting & Editing,4,2.9
66,Content Strategy,4,3.6
66,Content Marketing,5,2.8
66,Analytics & Reporting,4,1.3
67,CRM Management,2,1.4
67,Relationship Management,3,1.7
67,Pipeline Forecasting,5,1.7
67,Market Analysis,3,1.6
68,Lead Generation,4,8.7
68,Client Negotiation,3,7.6
68,Relationship Management,4,11.0
68,Pipeline Forecasting,4,9.8
68,CRM Management,4,8.6
69,Strategic Account Planning,4,8.0
69,Key Account Management,5,10.1
69,Contract Negotiation,5,6.6
70,Accounts Payable / Receivable,3,6.1
70,QuickBooks / SAP,4,3.0
70,Payroll Management,3,4.8
70,Financial Statements,4,7.3
71,HRIS Management,4,3.2
71,Employee Onboarding,4,6.2
71,HR Policies & Compliance,4,4.6
71,Conflict Resolution,5,6.3
71,Performance Management,4,2.4
72,Brand Storytelling,3,5.8
72,Content Strategy,4,7.1
72,Social Media Management,2,12.3
73,JavaScript / React,2,3.3
73,Docker,4,2.3
73,Python,3,1.9
73,SQL & Database Design,3,1.3
73,Git Version Control,4,1.3
74,Market Analysis,2,0.9
74,Lead Generation,4,0.7
74,Relationship Management,4,1.2
74,B2B Sales,3,1.3
74,CRM Management,4,1.0
75,JavaScript / React,3,5.5
75,Git Version Control,3,9.4
75,Microservices Architecture,3,7.9
76,Succession Planning,4,4.4
76,Employee Engagement,4,8.8
76,Budgeting,4,3.3
76,Organizational Development,3,7.4
76,Executive Leadership,5,7.5
76,Labor Law & Compliance,3,7.5
77,CRM Management,3,4.9
77,Lead Generation,4,9.3
77,Relationship Management,3,9.2
78,B2B Sales,5,2.6
78,Lead Generation,4,1.1
78,Pipeline Forecasting,4,0.9
78,Relationship Management,2,1.5
79,Content Marketing,3,1.6
79,SEO & Keyword Strategy,4,2.9
79,Brand Storytelling,3,1.4
79,Content Strategy,4,2.8
79,Social Media Management,3,3.5
80,Employee Engagement,3,5.4
80,HR Strategy,3,8.1
80,Budgeting,4,4.6
80,Executive Leadership,4,8.0
80,Succession Planning,4,6.4
80,Labor Law & Compliance,4,4.4
81,SLA Management,5,7.4
81,Customer Troubleshooting,4,6.5
81,Technical Support,3,4.1
81,Hardware Diagnostics,4,6.1
82,Systems Architecture,3,1.5
82,Linux Administration,2,2.7
82,CI/CD Pipelines,3,3.3
83,Microservices Architecture,3,1.8
83,SQL & Database Design,4,1.6
83,Git Version Control,3,2.1
83,JavaScript / React,3,3.8
83,REST APIs,5,1.7
84,Accounting,5,1.7
84,Excel & Financial Modeling,4,3.2
84,Risk Assessment,2,2.8
85,Market Analysis,4,2.5
85,CRM Management,4,1.7
85,Lead Generation,4,3.1
85,Pipeline Forecasting,4,2.9
86,Market Analysis,4,3.5
86,Lead Generation,5,4.0
86,B2B Sales,3,6.2
86,Relationship Management,4,4.8
86,Pipeline Forecasting,4,5.9
87,Incident Management,3,2.9
87,L2/L3 Technical Troubleshooting,4,3.7
87,Customer Communication,4,2.8
88,Content Marketing,2,6.4
88,Analytics & Reporting,4,7.9
88,Social Media Management,4,8.3
88,Brand Storytelling,5,5.6
88,SEO & Keyword Strategy,3,6.4
88,Content Strategy,3,9.6
89,Search Engine Optimization,3,8.9
89,Keyword Research,3,4.9
89,Content Strategy,4,6.2
89,Competitor SEO Analysis,4,5.7
90,Internal Controls,3,1.5
90,Excel & Financial Modeling,3,1.8
90,Regulatory Reporting,3,0.9
90,Risk Assessment,2,0.8
91,CI/CD Quality Gates,4,1.6
91,Selenium / Playwright,3,1.3
91,Test Automation,4,2.8
91,Performance Testing (JMeter),3,3.2
91,API Testing (Postman),4,2.6
92,QuickBooks / SAP,5,0.6
92,Tax Preparation,3,1.1
92,Accounts Payable / Receivable,5,1.0
93,Strategic Account Planning,2,2.0
93,Key Account Management,5,2.6
94,Technical Support,4,2.0
94,ServiceNow / ITSM,3,3.7
94,Customer Troubleshooting,3,2.2
95,Cloud Monitoring,5,4.6
95,Customer Communication,5,5.6
95,Scripting (Python/Bash),4,4.5
96,SEO & Keyword Strategy,4,5.0
96,Copywriting & Editing,3,5.1
96,Brand Storytelling,4,10.6
96,Content Marketing,5,7.9
97,Executive Leadership,3,1.6
97,Succession Planning,4,1.6
97,Labor Law & Compliance,3,1.3
97,Organizational Development,3,1.3
98,Brand Storytelling,5,8.1
98,Social Media Management,5,7.9
98,Content Marketing,3,3.9
98,SEO & Keyword Strategy,4,4.5
98,Content Strategy,3,5.4
99,Employee Onboarding,4,4.1
99,Talent Acquisition,5,8.3
99,HRIS Management,3,5.0
99,Payroll Coordination,3,5.0
99,Performance Management,3,8.0
100,Key Account Management,4,3.2
100,Client Retention,5,4.8
100,Customer Success,4,2.2
100,Strategic Account Planning,4,4.7
100,Upselling & Cross-selling,3,2.9
101,Labor Law & Compliance,3,3.3
101,Executive Leadership,4,6.7
101,Organizational Development,4,8.5
101,Budgeting,4,4.5
101,HR Strategy,3,9.3
101,Employee Engagement,4,7.0
102,HR Policies & Compliance,4,8.0
102,Performance Management,4,5.6
102,Conflict Resolution,4,11.4
102,Talent Acquisition,3,5.0
102,Employee Onboarding,2,9.6
103,Upselling & Cross-selling,3,5.1
103,Customer Success,4,7.8
103,Contract Negotiation,3,6.2
104,Incident Management,4,4.9
104,Database Querying (SQL),3,4.6
104,L2/L3 Technical Troubleshooting,4,5.1
104,Customer Communication,4,6.3
105,Link Building,3,2.3
105,Content Strategy,3,3.6
105,Competitor SEO Analysis,5,4.0
106,Financial Statements,3,3.8
106,General Ledger,3,5.6
106,Tax Preparation,2,3.4
107,Git Version Control,4,9.9
107,Python,3,9.1
107,JavaScript / React,2,5.9
107,Docker,4,10.6
108,Payroll Coordination,3,3.7
108,Employee Onboarding,3,3.1
108,HR Policies & Compliance,4,5.6
109,L2/L3 Technical Troubleshooting,4,3.0
109,Incident Management,5,2.6
109,Log Analysis,4,3.7
109,Cloud Monitoring,4,5.7
109,Customer Communication,4,5.4
110,Python,5,8.9
110,SQL & Database Design,4,4.9
110,Git Version Control,4,11.1
110,Docker,3,8.6
111,ServiceNow / ITSM,2,1.3
111,Customer Troubleshooting,3,3.5
111,Hardware Diagnostics,4,3.5
111,Network Basics,3,1.9
112,Systems Architecture,3,8.0
112,Monitoring & Logging,4,6.2
112,Linux Administration,3,8.9
113,JavaScript / React,4,5.1
113,SQL & Database Design,3,7.9
113,Git Version Control,4,7.5
114,ServiceNow / ITSM,4,1.6
114,Technical Support,3,1.4
114,Customer Troubleshooting,3,1.2
115,Contract Negotiation,2,1.4
115,Key Account Management,4,1.1
115,Upselling & Cross-selling,4,1.3
116,Customer Troubleshooting,3,5.9
116,Technical Support,3,11.1
116,SLA Management,3,7.9
117,Keyword Research,3,9.3
117,Google Analytics / Search Console,3,5.9
117,Competitor SEO Analysis,4,4.2
117,Technical SEO Auditing,5,7.5
117,Link Building,4,9.0
118,Employee Onboarding,4,3.9
118,Performance Management,2,8.8
118,Payroll Coordination,2,4.1
118,Talent Acquisition,2,10.5
119,Accounting,3,1.6
119,Financial Auditing,4,2.4
119,Excel & Financial Modeling,2,1.7
120,Pipeline Forecasting,3,10.0
120,Market Analysis,4,10.3
120,Lead Generation,4,4.9
120,CRM Management,5,11.7
120,Client Negotiation,3,13.3
121,Microservices Architecture,5,5.2
121,Python,3,6.7
121,Git Version Control,3,8.0
121,Docker,5,5.3
121,REST APIs,3,5.0
122,Cloud Monitoring,4,4.8
122,Log Analysis,5,8.2
122,Database Querying (SQL),4,4.5
123,Risk Assessment,3,5.0
123,Financial Auditing,2,6.2
123,Internal Controls,3,2.7
123,Regulatory Reporting,3,3.8
123,Tax Compliance,4,5.2
124,Cloud Infrastructure (AWS/GCP),3,1.9
124,CI/CD Pipelines,4,2.2
124,Python / Go,4,1.4
125,Accounts Payable / Receivable,4,7.1
125,Reconciliation,3,6.2
125,Payroll Management,4,8.1
125,Tax Preparation,4,8.0
125,QuickBooks / SAP,2,7.5
126,SQL & Database Design,3,5.5
126,Git Version Control,4,3.4
126,JavaScript / React,3,5.6
126,Python,2,3.3
126,REST APIs,2,3.2
127,B2B Sales,3,6.1
127,Market Analysis,4,4.6
127,CRM Management,3,9.2
127,Client Negotiation,4,4.4
128,Performance Management,4,3.1
128,HR Policies & Compliance,3,1.9
128,Talent Acquisition,4,2.2
129,Scripting (Python/Bash),3,5.5
129,Cloud Monitoring,3,3.3
129,Log Analysis,4,7.2
129,Incident Management,4,6.0
129,L2/L3 Technical Troubleshooting,5,3.4
130,API Testing (Postman),3,6.1
130,CI/CD Quality Gates,3,3.9
130,Performance Testing (JMeter),4,5.6
131,ServiceNow / ITSM,5,8.5
131,Technical Support,4,3.0
131,Active Directory,2,4.4
131,SLA Management,3,5.4
132,Performance Management,5,3.1
132,Talent Acquisition,3,5.3
133,Accounting,4,3.0
133,Regulatory Reporting,3,4.6
133,Financial Auditing,2,2.7
134,Labor Law & Compliance,3,9.8
134,HR Strategy,3,8.1
134,Succession Planning,3,5.5
135,SEO & Keyword Strategy,3,4.9
135,Brand Storytelling,4,8.8
135,Analytics & Reporting,5,6.1
135,Copywriting & Editing,3,8.8
135,Social Media Management,4,8.8
135,Content Strategy,4,6.1
136,Competitor SEO Analysis,3,1.4
136,Keyword Research,4,0.7
136,Technical SEO Auditing,4,1.6
137,Accounting,4,5.5
137,Excel & Financial Modeling,3,7.4
137,Risk Assessment,4,7.4
137,Financial Auditing,3,5.1
137,Tax Compliance,5,6.9
138,Cloud Infrastructure (AWS/GCP),3,9.2
138,Python / Go,5,5.1
138,Systems Architecture,4,5.7
138,Docker & Kubernetes,4,7.8
139,Python,3,2.7
139,REST APIs,3,3.4
139,Git Version Control,3,2.4
139,SQL & Database Design,4,1.3
140,Key Account Management,2,2.5
140,Upselling & Cross-selling,4,1.8
140,Strategic Account Planning,5,1.7
140,Customer Success,5,2.1
141,Selenium / Playwright,4,7.3
141,Bug Lifecycle Management,4,3.5
141,API Testing (Postman),4,4.1
141,QA Testing,4,7.9
141,Performance Testing (JMeter),4,7.3
142,Strategic Account Planning,4,3.5
142,Upselling & Cross-selling,3,5.1
142,Customer Success,4,2.5
142,Client Retention,3,2.7
143,Hardware Diagnostics,5,4.1
143,Customer Troubleshooting,3,4.2
143,ServiceNow / ITSM,3,4.3
143,Network Basics,2,2.4
143,Active Directory,4,2.6
144,Strategic Account Planning,3,1.4
144,Client Retention,4,2.2
144,Upselling & Cross-selling,4,3.4
144,Key Account Management,3,3.1
145,L2/L3 Technical Troubleshooting,3,2.1
145,Scripting (Python/Bash),3,2.2
146,Succession Planning,4,10.1
146,Organizational Development,4,12.4
147,Strategic Account Planning,3,7.2
147,Customer Success,4,3.6
147,Client Retention,3,3.1
147,Upselling & Cross-selling,3,4.8
148,Client Retention,4,9.1
148,Customer Success,3,5.5
148,Upselling & Cross-selling,5,7.4
149,L2/L3 Technical Troubleshooting,4,7.6
149,Cloud Monitoring,3,4.8
149,Log Analysis,3,8.2
150,Social Media Management,3,5.6
150,Analytics & Reporting,4,6.6
150,Brand Storytelling,4,5.7
150,SEO & Keyword Strategy,4,6.8
150,Content Marketing,4,7.2
151,Talent Acquisition,5,4.0
151,Payroll Coordination,4,3.6
151,Employee Onboarding,4,2.1
152,Key Account Management,3,2.9
152,Strategic Account Planning,3,3.4
152,Client Retention,3,2.8
153,Bug Lifecycle Management,3,2.0
153,API Testing (Postman),4,2.6
153,Test Automation,4,1.9
153,Selenium / Playwright,5,2.2
154,Technical SEO Auditing,4,8.1
154,Google Analytics / Search Console,3,4.2
154,Content Strategy,3,5.0
155,HR Policies & Compliance,5,5.9
155,Payroll Coordination,4,2.4
155,Employee Onboarding,4,6.4
155,Performance Management,2,6.6
155,Talent Acquisition,3,5.6
156,REST APIs,2,1.0
156,JavaScript / React,5,1.4
156,Git Version Control,4,1.0
157,Conflict Resolution,4,6.0
157,Employee Onboarding,4,6.4
157,HRIS Management,5,6.3
157,HR Policies & Compliance,4,5.0
157,Payroll Coordination,3,2.8
158,SEO & Keyword Strategy,4,3.8
158,Brand Storytelling,2,4.4
158,Content Marketing,4,4.6
158,Copywriting & Editing,3,3.7
158,Social Media Management,3,4.5
159,Scripting (Python/Bash),3,5.2
159,Incident Management,3,5.0
159,Cloud Monitoring,4,6.6
159,Customer Communication,3,4.1
159,L2/L3 Technical Troubleshooting,4,8.9
160,Market Analysis,3,13.4
160,CRM Management,3,10.7
160,Client Negotiation,3,8.9
160,Pipeline Forecasting,2,9.0
161,Technical Support,3,0.8
161,Hardware Diagnostics,3,0.8
162,QuickBooks / SAP,2,2.7
162,Reconciliation,3,1.3
162,General Ledger,5,3.1
162,Financial Statements,5,2.3
163,Talent Acquisition,4,3.3
163,Conflict Resolution,4,5.7
163,HRIS Management,3,6.4
164,Succession Planning,3,3.8
164,HR Strategy,4,2.4
164,Executive Leadership,3,3.9
164,Budgeting,3,3.7
165,Bug Lifecycle Management,3,8.6
165,API Testing (Postman),2,11.2
165,Selenium / Playwright,4,5.0
165,QA Testing,4,8.7
165,CI/CD Quality Gates,2,13.2
166,Test Automation,3,1.5
166,QA Testing,3,1.2
166,Bug Lifecycle Management,3,1.3
167,Executive Leadership,2,0.9
167,HR Strategy,4,1.4
167,Budgeting,3,1.5
167,Employee Engagement,3,1.0
167,Labor Law & Compliance,5,1.3
168,Talent Acquisition,4,3.4
168,Conflict Resolution,4,2.5
168,HRIS Management,4,3.1
168,Employee Onboarding,4,4.5
168,Payroll Coordination,3,4.5
168,HR Policies & Compliance,2,1.5
169,Database Querying (SQL),4,7.6
169,Log Analysis,4,6.7
169,L2/L3 Technical Troubleshooting,2,5.9
169,Incident Management,2,5.4
169,Scripting (Python/Bash),3,3.4
170,Strategic Account Planning,4,2.4
170,Upselling & Cross-selling,2,3.0
170,Contract Negotiation,4,3.6
170,Key Account Management,2,1.7
171,Technical SEO Auditing,3,5.7
171,Content Strategy,4,11.5
171,Search Engine Optimization,4,6.7
172,HR Strategy,4,7.4
172,Labor Law & Compliance,3,5.3
172,Succession Planning,3,5.7
172,Organizational Development,4,4.5
172,Executive Leadership,5,8.8
173,Customer Communication,3,5.4
173,Scripting (Python/Bash),4,9.5
173,Cloud Monitoring,4,10.9
173,Incident Management,4,7.5
173,L2/L3 Technical Troubleshooting,3,11.2
174,SEO & Keyword Strategy,5,7.2
174,Content Strategy,3,11.2
174,Analytics & Reporting,4,4.8
174,Content Marketing,2,8.3
175,Google Analytics / Search Console,4,1.7
175,Technical SEO Auditing,3,1.2
175,Competitor SEO Analysis,4,1.8
176,SLA Management,3,3.0
176,Active Directory,4,4.9
176,Network Basics,4,7.3
176,Hardware Diagnostics,3,6.2
177,ServiceNow / ITSM,5,0.8
177,Hardware Diagnostics,4,1.8
177,Technical Support,2,1.4
178,Customer Success,3,9.1
178,Client Retention,3,12.0
179,Content Strategy,2,5.2
179,Keyword Research,5,5.5
179,Google Analytics / Search Console,4,4.4
179,Technical SEO Auditing,4,6.9
180,Hardware Diagnostics,3,6.4
180,Technical Support,2,6.7
180,SLA Management,4,8.6
181,SLA Management,4,1.3
181,Customer Troubleshooting,4,3.1
182,Scripting (Python/Bash),4,6.4
182,Log Analysis,2,7.7
182,Customer Communication,4,9.8
182,L2/L3 Technical Troubleshooting,3,6.8
183,Contract Negotiation,3,3.1
183,Customer Success,4,6.2
183,Upselling & Cross-selling,4,3.1
183,Client Retention,4,5.5
184,Financial Auditing,4,3.7
184,Internal Controls,3,3.4
184,Risk Assessment,4,6.3
185,B2B Sales,4,1.7
185,CRM Management,4,1.7
185,Pipeline Forecasting,2,1.2
185,Client Negotiation,3,1.3
186,Python,4,4.7
186,JavaScript / React,3,9.4
186,Docker,3,4.7
186,Git Version Control,2,3.4
186,Microservices Architecture,4,8.1
186,REST APIs,3,7.9
187,Customer Communication,3,3.1
187,L2/L3 Technical Troubleshooting,5,3.0
187,Scripting (Python/Bash),4,2.6
187,Database Querying (SQL),4,3.1
187,Incident Management,3,2.5
187,Log Analysis,4,1.3
188,Log Analysis,3,9.8
188,Incident Management,3,6.6
188,L2/L3 Technical Troubleshooting,3,11.9
188,Customer Communication,5,4.6
189,Financial Statements,4,2.1
189,Tax Preparation,4,1.8
189,General Ledger,4,2.1
189,Reconciliation,4,1.8
190,Risk Assessment,4,4.2
190,Excel & Financial Modeling,5,5.8
190,Tax Compliance,3,5.8
191,Payroll Coordination,4,2.5
191,HR Policies & Compliance,4,1.3
191,Performance Management,3,1.4
192,Python / Go,3,2.1
192,Systems Architecture,4,2.0
192,Docker & Kubernetes,4,4.6
192,Monitoring & Logging,3,4.8
192,Cloud Infrastructure (AWS/GCP),4,3.5
193,Incident Management,2,5.3
193,Database Querying (SQL),3,2.9
193,Log Analysis,3,2.6
193,Scripting (Python/Bash),2,4.4
194,Risk Assessment,4,11.1
194,Accounting,3,7.3
194,Tax Compliance,5,11.0
194,Internal Controls,5,10.5
194,Excel & Financial Modeling,3,9.2
195,Hardware Diagnostics,3,5.4
195,Technical Support,3,4.1
195,Network Basics,5,5.4
195,SLA Management,3,5.1
196,Budgeting,2,10.2
196,Organizational Development,3,4.9
196,Labor Law & Compliance,4,6.6
197,HRIS Management,4,2.8
197,Employee Onboarding,4,2.4
197,Payroll Coordination,3,3.0
197,Performance Management,3,4.2
197,Talent Acquisition,2,3.8
198,Reconciliation,4,6.9
198,General Ledger,5,3.6
198,Accounts Payable / Receivable,4,8.0
198,Payroll Management,4,4.5
199,API Testing (Postman),4,3.9
199,Bug Lifecycle Management,4,4.8
199,Performance Testing (JMeter),2,3.9
199,QA Testing,5,6.5
200,CI/CD Pipelines,3,2.0
200,Python / Go,4,2.0
200,Cloud Infrastructure (AWS/GCP),4,2.2
201,Tax Preparation,5,6.9
201,General Ledger,4,6.8
201,Payroll Management,3,5.5
201,Reconciliation,4,3.6
201,Financial Statements,3,4.7
202,Reconciliation,3,5.4
202,Accounts Payable / Receivable,4,7.2
202,Tax Preparation,3,5.1
203,Competitor SEO Analysis,5,1.3
203,Link Building,2,0.7
203,Content Strategy,5,1.0
204,HR Policies & Compliance,3,3.2
204,Talent Acquisition,3,3.5
204,HRIS Management,4,3.1
204,Performance Management,3,1.5
205,Content Strategy,4,4.2
205,Social Media Management,3,1.9
205,Copywriting & Editing,4,2.7
206,B2B Sales,4,5.4
206,CRM Management,4,4.5
206,Relationship Management,4,3.2
206,Pipeline Forecasting,4,7.4
207,Customer Troubleshooting,3,1.5
207,SLA Management,2,0.8
207,Network Basics,4,1.5
207,Active Directory,2,0.9
208,L2/L3 Technical Troubleshooting,4,3.9
208,Incident Management,3,3.0
208,Scripting (Python/Bash),4,3.2
209,Contract Negotiation,4,1.2
209,Strategic Account Planning,2,1.0
